Time,Instantaneous Solar energy Generation(kWh),Instantaneous Solar Usage (kWh),Instantaneous User Consumption (kWh),Device_1_Consumption (kW),Device_2_Consumption (kW),Device_3_Consumption (kW),Device_4_Consumption (kW),TOU rates (INR),Predicted TOU rates (1 hour ahead),Cumulative Energy Consumption,Predicted Solar Generation (kWh),Optimal Solar Usage (kWh),Optimal Grid Usage (kWh),Instantaneous Full Grid Cost (INR),Instantaneous Actual Cost (INR),Instantaneous Savings (INR),Cumulative Savings (INR),Cumulative Bill (INR),Cumulative Energy Saved (kWh),Trees Saved,Battery Level (kWh)
1/12/2024 0:03,0,0,0.37,0.103,0.051,0.01,0.184,10,10,0.37,0,0,0.37,3.7,3.7,0,0,3.7,0,0,0
1/12/2024 0:07,0,0,0.39,0.071,0,0.062,0.058,10,10,0.76,0,0,0.39,3.9,3.9,0,0,7.6,0,0,0
1/12/2024 0:13,0,0,0.37,0.127,0.005,0.004,0.016,10,10,1.13,0,0,0.37,3.7,3.7,0,0,11.3,0,0,0
1/12/2024 0:19,0,0,0.38,0.121,0.195,0.231,0.038,10,10,1.51,0,0,0.38,3.8,3.8,0,0,15.1,0,0,0
1/12/2024 0:24,0,0,0.38,0.005,0.137,0.078,0.146,10,10,1.89,0,0,0.38,3.8,3.8,0,0,18.9,0,0,0
1/12/2024 0:30,0,0,0.37,0.016,0.033,0.046,0.052,10,10,2.26,0,0,0.37,3.7,3.7,0,0,22.6,0,0,0
1/12/2024 0:35,0,0,0.37,0.232,0.106,0.082,0.107,10,10,2.63,0,0,0.37,3.7,3.7,0,0,26.3,0,0,0
1/12/2024 0:40,0,0,0.37,0.233,0.132,0.091,0.037,10,10,3,0,0,0.37,3.7,3.7,0,0,30,0,0,0
1/12/2024 0:46,0,0,0.36,0.01,0.116,0.139,0.251,10,10,3.36,0,0,0.36,3.6,3.6,0,0,33.6,0,0,0
1/12/2024 0:51,0,0,0.38,0.011,0.205,0.085,0.09,10,10,3.74,0,0,0.38,3.8,3.8,0,0,37.4,0,0,0
1/12/2024 0:56,0,0,0.37,0.102,0.236,0.132,0.03,10,10,4.11,0,0,0.37,3.7,3.7,0,0,41.1,0,0,0
1/12/2024 1:01,0,0,0.37,0.066,0.165,0.178,0.101,10,10,4.48,0,0,0.37,3.7,3.7,0,0,44.8,0,0,0
1/12/2024 1:07,0,0,0.37,0.037,0.026,0.008,0.09,10,10,4.85,0,0,0.37,3.7,3.7,0,0,48.5,0,0,0
1/12/2024 1:12,0,0,0.37,0.039,0.083,0,0.041,10,10,5.22,0,0,0.37,3.7,3.7,0,0,52.2,0,0,0
1/12/2024 1:17,0,0,0.37,0.27,0.121,0.049,0.072,10,10,5.59,0,0,0.37,3.7,3.7,0,0,55.9,0,0,0
1/12/2024 1:23,0,0,0.37,0.046,0.122,0.043,0.192,10,10,5.96,0,0,0.37,3.7,3.7,0,0,59.6,0,0,0
1/12/2024 1:28,0,0,0.36,0.076,0.204,0.015,0.141,10,10,6.32,0,0,0.36,3.6,3.6,0,0,63.2,0,0,0
1/12/2024 1:33,0,0,0.35,0.167,0.05,0.008,0.152,10,10,6.67,0,0,0.35,3.5,3.5,0,0,66.7,0,0,0
1/12/2024 1:39,0,0,0.34,0.121,0.047,0.006,0.182,10,10,7.01,0,0,0.34,3.4,3.4,0,0,70.1,0,0,0
1/12/2024 1:44,0,0,0.35,0.02,0.12,0.075,0.083,10,10,7.36,0,0,0.35,3.5,3.5,0,0,73.6,0,0,0
1/12/2024 1:49,0,0,0.34,0.174,0.068,0.053,0.07,10,10,7.7,0,0,0.34,3.4,3.4,0,0,77,0,0,0
1/12/2024 1:54,0,0,0.34,0.076,0.085,0.114,0.007,10,10,8.04,0,0,0.34,3.4,3.4,0,0,80.4,0,0,0
1/12/2024 1:59,0,0,0.35,0.144,0.212,0.02,0.084,10,10,8.39,0,0,0.35,3.5,3.5,0,0,83.9,0,0,0
1/12/2024 2:05,0,0,0.34,0.14,0.008,0.059,0.001,10,10,8.73,0,0,0.34,3.4,3.4,0,0,87.3,0,0,0
1/12/2024 2:10,0,0,0.34,0.032,0.028,0.026,0.224,10,10,9.07,0,0,0.34,3.4,3.4,0,0,90.7,0,0,0
1/12/2024 2:15,0,0,0.35,0.261,0.222,0.191,0.076,10,10,9.42,0,0,0.35,3.5,3.5,0,0,94.2,0,0,0
1/12/2024 2:20,0,0,0.34,0.008,0.01,0.125,0.151,10,10,9.76,0,0,0.34,3.4,3.4,0,0,97.6,0,0,0
1/12/2024 2:26,0,0,0.35,0.045,0.117,0.006,0.011,10,10,10.11,0,0,0.35,3.5,3.5,0,0,101.1,0,0,0
1/12/2024 2:31,0,0,0.35,0.189,0.051,0.003,0.062,10,10,10.46,0,0,0.35,3.5,3.5,0,0,104.6,0,0,0
1/12/2024 2:36,0,0,0.35,0.142,0.122,0.119,0.024,10,10,10.81,0,0,0.35,3.5,3.5,0,0,108.1,0,0,0
1/12/2024 2:42,0,0,0.34,0.083,0.212,0.148,0.013,10,10,11.15,0,0,0.34,3.4,3.4,0,0,111.5,0,0,0
1/12/2024 2:48,-0.1,0,,,,,,10,10,11.15,-0.1,0,0.34,3.4,3.4,0,0,114.9,0,0,0
1/12/2024 2:52,0,0,0.34,0.023,0.01,0.05,0.078,10,10,11.49,0,0,0.34,3.4,3.4,0,0,118.3,0,0,0
1/12/2024 2:57,0,0,0.35,0.106,0.036,0.209,0.073,10,10,11.84,0,0,0.35,3.5,3.5,0,0,121.8,0,0,0
1/12/2024 3:03,0,0,0.37,0.083,0.22,0.098,0.089,10,19.29775281,12.21,0,0,0.37,3.7,3.7,0,0,125.5,0,0,0
1/12/2024 3:08,0,0,0.38,0.015,0.06,0.089,0.052,10,19.29775281,12.59,0,0,0.38,3.8,3.8,0,0,129.3,0,0,0
1/12/2024 3:13,0,0,0.38,0.11,0.017,0.166,0.04,10,19.29775281,12.97,0,0,0.38,3.8,3.8,0,0,133.1,0,0,0
1/12/2024 3:19,0,0,0.38,0.098,0.027,0.013,0.114,10,19.29775281,13.35,0,0,0.38,3.8,3.8,0,0,136.9,0,0,0
1/12/2024 3:26,0,0,0.39,0.053,0.05,0,0.12,10,19.29775281,13.74,0,0,0.39,3.9,3.9,0,0,140.8,0,0,0
